tumor_progenitor,tumor_terminal,lcmv_progenitor,lcmv_terminal
1110038B12Rik,1300014I06Rik,0610007P08Rik,0610007P22Rik
1190002H23Rik,1500009L16Rik,0610009B22Rik,0610011L14Rik
1500012F01Rik,1700017B05Rik,0610010K14Rik,0910001L09Rik
1700019D03Rik,1700020I14Rik,0610011F06Rik,1110006O24Rik
1810034E14Rik,1810011H11Rik,0610040F04Rik,1110008P14Rik
2010016I18Rik,1810037I17Rik,1110004E09Rik,1110018G07Rik
2210013O21Rik,1810046J19Rik,1110008L16Rik,1110038F14Rik
2310001H17Rik,2010002N04Rik,1110028F11Rik,1110054O05Rik
2410004N09Rik,2010107E04Rik,1110031I02Rik,1110067D22Rik
2410006H16Rik,2010111I01Rik,1110038B12Rik,1300002E11Rik
2610019F03Rik,2310003H01Rik,1110051M20Rik,1500003O03Rik
2610035D17Rik,2310061C15Rik,1190002H23Rik,1600014C10Rik
2610301B20Rik,2610020H08Rik,1190002N15Rik,1700017B05Rik
4833420G17Rik,2810025M15Rik,1190007I07Rik,1700019G17Rik
4930417O13Rik,2900026A02Rik,1300001I01Rik,1700020I14Rik
4930444A02Rik,2900064A13Rik,1500001M20Rik,1700030C10Rik
4930473A06Rik,3300005D01Rik,1500011H22Rik,1700081L11Rik
4930523C07Rik,4632428N05Rik,1500011K16Rik,1810011H11Rik
4932425I24Rik,4930579G24Rik,1500012F01Rik,1810012P15Rik
4932438A13Rik,5830473C10Rik,1500031L02Rik,1810032O08Rik
4933426M11Rik,6230409E13Rik,1500032L24Rik,1810037I17Rik
5730403B10Rik,A430084P05Rik,1700019D03Rik,2010106G01Rik
6330403K07Rik,AA467197,1700025K23Rik,2010111I01Rik
A430078G23Rik,Aars,1700029G01Rik,2010300C02Rik
A630001G21Rik,Abcb9,1810020D17Rik,2310044G17Rik
A930005H10Rik,Abi3,1810034E14Rik,2310046O06Rik
AB124611,Abr,1810055G02Rik,2310061C15Rik
Abca3,Acadl,2010204K13Rik,2410002O22Rik
Abl2,Acot7,2010305A19Rik,2410004P03Rik
Ablim1,Acoxl,2210013O21Rik,2410016O06Rik
Acsf3,Acsl4,2210016F16Rik,2410066E13Rik
Acss1,Actb,2310001H17Rik,2510006D16Rik
Actn1,Actg1,2310015A10Rik,2610001J05Rik
Adk,Actr10,2410002F23Rik,2610018G03Rik
Aff3,Actr1b,2510003E04Rik,2610020C07Rik
Akap8l,Actr3,2610002D18Rik,2610020H08Rik
Amica1,Adam8,2610002M06Rik,2610039C10Rik
Amz2,Adamts14,2610019F03Rik,2810008M24Rik
Anapc16,Adap1,2610027L16Rik,2810013P06Rik
Angptl2,Adora3,2610029G23Rik,2810025M15Rik
Ankrd10,Adrb1,2610318N02Rik,2810453I06Rik
Ankrd12,Adssl1,2700060E02Rik,2900026A02Rik
Ankrd23,Aes,2810417H13Rik,2900064A13Rik
Ankrd46,Agpat4,2810422J05Rik,3110002H16Rik
Anp32a,Aim1,3110043O21Rik,3110003A17Rik
Antxr2,Akt1,3110082I17Rik,4930478L05Rik
Apbb1ip,Alad,4632434I11Rik,4930503L19Rik
Aqp3,Aldoa,4732471D19Rik,4930515G01Rik
Ar,Aldoart1,4930414L22Rik,4931406H21Rik
Arap2,Anubl1,4930420K17Rik,4932438A13Rik
Arc,Anxa1,4930422G04Rik,4933424G06Rik
Arhgap15,Anxa2,4930473A06Rik,5031414D18Rik
Arhgap25,Anxa4,4930486L24Rik,5133401N09Rik
Arhgap26,Anxa6,4930503E24Rik,5430405H02Rik
Arhgap31,Aoah,4930547N16Rik,5830473C10Rik
Arhgap5,Apaf1,4930550C14Rik,6230409E13Rik
Arhgef18,Apbb1,4930583H14Rik,6330409N04Rik
Arhgef3,Aplp2,4933403F05Rik,6330512M04Rik
Arhgef4,Apobr,4933404O12Rik,8430410A17Rik
Arl4d,Arf1,4933424B01Rik,8430427H17Rik
Arl5c,Arf5,5430417L22Rik,9030624J02Rik
Armcx2,Arhgap18,5430427O19Rik,9130206I24Rik
Art3,Arhgdia,5730416F02Rik,9330133O14Rik
As3mt,Arl6ip1,5730455P16Rik,9430020K01Rik
Asap1,Armc7,5730469M10Rik,9930012K11Rik
Ascc1,Arnt2,5830415F09Rik,9930104L06Rik
Atg7,Arpc2,5830418K08Rik,A330023F24Rik
Atp10d,Arpc4,6330403K07Rik,A430035B10Rik
Atp1a1,Arpp19,9030617O03Rik,A430088P11Rik
Atp2a3,Arsb,9130230L23Rik,A430090L17Rik
B3gnt2,Asb2,9230110C19Rik,A630007B06Rik
B3gnt5,Asf1b,9430008C03Rik,A830007P12Rik
Bach2,Atad5,9430015G10Rik,A830080D01Rik
Bag2,Atf6,9830147E19Rik,A930001N09Rik
BC016495,Atg3,A630001G21Rik,AA467197
BC031353,Atp2b4,A630055G03Rik,Abca7
BC048355,Atp5j,A730011L01Rik,Abcb10
Bckdha,Atp6v0a2,A930005H10Rik,Abcb1a
Bcl2,Atp6v0e,A930024E05Rik,Abcb9
Bcl6,Atp6v1e1,Aacs,Abcg3
Bmyc,Atp8b4,Aars2,Abi3
Bnip3l,Atxn1,AB124611,Abr
Btaf1,Atxn10,Abca1,Abtb1
Btbd11,Auh,Abca3,Acadl
Btg2,AW112010,Abcb1b,Acap1
Btla,Azi2,Abcc1,Acap2
Bzw2,B230312A22Rik,Abce1,Accs
C130039O16Rik,Baiap3,Abhd14a,Aco1
Cables1,Banf1,Abhd4,Acot8
Calcoco1,Bard1,Abhd8,Acoxl
Camk2d,Bax,Abi2,Acpl2
Car2,BC002163,Abi3bp,Acsbg1
Card6,BC004004,Ablim1,Actn2
Casp4,BC013712,Acaa1b,Actr10
Cbr1,Bcl2a1b,Acad11,Actr1b
Cbx7,Bcl2l11,Acadm,Actr3
Ccdc117,Bcmo1,Acer2,Adam19
Ccdc125,Bcr,Acss1,Adam8
Ccdc141,Birc2,Actn1,Adamts14
Ccdc157,Birc5,Acvr1,Adap1
Ccdc28a,Bmp2k,Adamts6,Adcy3
Ccdc28b,Bnip2,Adar,Adcy7
Ccdc64,Bnip3,Adck4,Adipor1
Ccr6,Bscl2,Add3,Adora2a
Ccr7,Bspry,Adh5,Adrb1
Cd160,Btbd10,Adk,Adrbk1
Cd200,Btbd19,Adora3,Adrbk2
Cd22,Bub3,Adpgk,AF251705
Cd28,C1qtnf6,Adprh,Afmid
Cd40lg,Calca,Adsl,Afp
Cd44,Calm1,Adss,Agfg1
Cd68,Calm3,Afap1,Agfg2
Cd69,Calr,Aff3,Agpat3
Cd72,Calu,Agpat5,Agpat9
Cd81,Camk2n1,Ahcy,Agps
Cd82,Capg,Ahcyl2,Agrn
Cd83,Capn2,Aicda,Ahr
Cd84,Capn5,Aim1l,AI504432
Cd9,Capza2,Aimp1,AI848100
Cdk2ap2,Capzb,Aimp2,Akap10
Cecr5,Casp3,Aipl1,Akap12
Celf1,Casp7,Akap1,Akna
Celsr1,Casp8,Akap2,Alkbh1
Chd3,Ccl3,Akap6,Alkbh4
Chka,Ccl4,Akr7a5,Alox5ap
Clec2d,Ccl5,Alas1,Alyref2
Clec2i,Ccl9,Alcam,Amhr2
Clk1,Ccna2,Aldh4a1,Ank
Cmah,Ccnd3,Alg3,Ankmy2
Cmpk2,Ccng1,Alg8,Ankrd11
Cnot6l,Ccr1,Amacr,Ankrd12
Cnrip1,Ccr5,Amotl1,Ankrd44
Colq,Ccrl2,Ampd2,Ankrd50
Cox7a2l,Cct7,Amz2,Anks1b
Cpm,Cd101,Anapc16,Anubl1
Cpne3,Cd14,Angptl2,Ap1g1
