Safford_anergy,Parish_deletional_tolerance,Miao_Egr2,Zheng_Egr2
Egr2,Tnfsf11,Xist,Ccl1
Etv6,2310067E08Rik,BC018473,Crtam
Foxp1,Rgs16,Klk1b22,Egr2
Hlf,Cd83,St6galnac2,Rasgef1a
Ing4,5830456J23Rik,Igfbp4,Car12
Irf4,Nrn1,Zan,Fhl2
Jarid2,Myb,Gbp2b,Pscd3
Nfatc1,A730095J18Rik,St6galnac1,Pacsin1
Notch1,Tbc1d4,Izumo1r,Tnfrsf9
Nr4a2,Marcks,Gdpd3,Bcl2l11
Nr4a3,A630043P06,Wnt10a,Gnb5
Zfp36l1,2610042L04Rik,Galnt9,Sdr39u1
Zfp629,Gpm6b,Gabrr2,Arc
Gch1,6330403K07Rik,Lad1,Tnfsf11
Kifc3,Fcrl1,Sycp1,1190002H23Rik
Knsl7,Lrig1,Egr2,Sema7a
Ldh2,9130422G05Rik,Slc27a6,Nrgn
Pfkp,Nr4a3,Zfp534,Gucy1a3
Pla2g10,2610009E16Rik,Nsg2,Crabp2
Ccl1,Lta,Slc43a1,Bach2
Ccl3,Pdgfb,Tmie,Nrn1
Csf1,Ttn,Greb1l,Pdk2
Tnfsf11,4930486L24Rik,Ephx1,Dgkz
Tnfsf5,2610305J24Rik,Prelid2,Mtss1
Tnfsf9,Synj2,Fam101b,Cd74
Ddr1,Phemx,Cyth3,Ptgfrn
Dlgh2,Nr4a1,Sox4,Klf9
Fyn,Hspa4l,Tgfbr3,Rai14
Jak3,Rasgef1a,Irgc1,Lag3
Trp53rk,Nek7,Gprc5b,Slc17a6
Cdc14a,Cdkl2,Syde1,Trpm4
Dusp6,Trps1,Nhsl1,E130308A19Rik
Casp4,Nfatc1,Npas2,Ryr1
Ctse,Rabgap1l,Cnn3,A2bp1
Furin,,Synpo,Pros1
Tinag,,A230065H16Rik,Ece1
Adora2a,,Irf6,Olr1
Adora2b,,Clcnka,Stk32c
Cd97,,Rasgef1a,Exph5
F2r,,Id3,Jazf1
Gpr23,,Ces2d-ps,Nelf
Gabra4,,St8sia1,Ddx11
Kcnj11,,Fbln1,Repin1
Kcnk5,,Timp2,Cib2
Kcnq5,,Tnfsf11,Tspan5
Gga2,,Prickle1,Ttc3
Slc29a3,,Ramp1,Cish
Stx11,,A630023P12Rik,Arl3
Actn4,,Ntn4,Fam195a
Agt,,Cd200,Slc13a3
Angptl2,,Gm15698,
Ankrd28,,Plxna3,
Anp32a,,Ces2c,
Arfip1,,Pde11a,
Bnip3,,Gtf2ird1,
Ccrn4l,,Lrig1,
Clecsf9,,Slc9b2,
Dtna,,Zcchc12,
Eva1,,Chst15,
Fbxo34,,Syde2,
Gadd45b,,Car11,
Gp49b,,Mtss1,
Hebp2,,Tns1,
Hif1an,,Capn3,
Hsd17b9,,Ssbp2,
Hspa1a,,Bmp7,
Ier3,,Cldn10,
Igk-V8,,Txnrd3,
Isyna1,,Zfp365,
Jup,,Afp,
Lag3,,Spsb1,
Lrrc3,,P2rx7,
43892,,Aldh1l1,
Mill1,,Nab2,
Mmd,,Cnksr3,
Myh14,,Masp2,
Myl7,,Ptgfrn,
Myo1c,,Gpr83,
Myo1e,,Acsl3,
Ndrg1,,Smo,
Oaz3,,Rasgrf2,
Osp94,,Spock2,
Prg1,,Gm4956,
Rcbtb1,,Cxcl10,
Rnf19,,Bcl9,
S100a5,,Mmp15,
Sfrp4,,Hivep3,
Socs4,,Utp14b,
Tagap1,,Lxn,
Tekt2,,Klhl3,
Tnfrsf19,,Adh1,
Tnfrsf4,,Ramp3,
,,Bmf,
,,Cxxc5,
,,Ntrk3,
,,BC100451,
,,Ncs1,
,,Xlr3b,
,,Prpf40b,
,,Ctse,
,,Tdgf1,
,,Actg2,
,,Begain,
,,Icam5,
,,Nkain1,
,,Nfix,
,,Egln3,
,,Arhgef16,
,,Il9r,
,,Gna14,
,,Lif,
,,Serpina9,
,,Elavl4,
,,Rapgefl1,
,,Pard6g,
,,Sall2,
,,Padi1,
,,Sspo,
,,Car12,
,,Gpm6b,
,,Orm2,
,,Afap1,
,,Synj2,
,,Smyd5,
,,Il6ra,
,,Susd4,
,,Gm13154,
,,Gpr3,
,,1500004A13Rik,
,,Pacsin1,
,,Pgpep1l,
,,Fut10,
,,Acvrl1,
,,Rgs10,
,,Vangl1,
,,AA465934,
,,Arhgef9,
,,Sh3rf2,
,,I730030J21Rik,
,,Nmnat3,
,,Tcf7,
,,C920006O11Rik,
,,Nrgn,
,,Acvr1b,
,,Ntn1,
,,Ldhb,
,,Ak7,
,,Itga5,
,,Dip2c,
,,Cxcr5,
,,2610035D17Rik,
,,Col20a1,
,,Cpne5,
,,Tuft1,
,,Pdgfb,
,,5830416I19Rik,
,,Xlr3c,
,,Igsf3,
,,Art3,
,,Palld,
,,Tfpi,
,,Lta,
,,Cd9,
,,Ppic,
,,Cecr6,
,,5830417I10Rik,
,,Xlr3a,
,,Kcnf1,
,,Hes5,
,,Kifc3,
,,Insm1,
,,Smyd2,
,,Aff3,
,,Sardh,
,,Acacb,
,,Kcnq5,
,,Pdzk1ip1,
,,Reep2,
,,Hal,
,,Gm10584,
,,Arhgap20,
,,Insr,
,,1700101E01Rik,
,,Slc19a1,
,,Fam195a,
,,Cdk20,
,,Hpcal4,
,,B4galt4,
,,Ankrd13b,
,,Sqrdl,
,,Zfp827,
,,Xkrx,
,,Mx2,
,,Pifo,
,,Pou2af1,
,,Ptprs,
,,Gm3696,
,,Fbxw10,
,,Tnf,
,,Calcrl,
,,Mgll,
,,Gstt1,
,,Stxbp1,
,,Abcd3,
,,1110032F04Rik,
,,Asah2,
,,C430002N11Rik,
,,Shf,
,,Ak4,
,,Phldb1,
,,Fhit,
,,Dock6,
,,Bcat1,
,,Gm8580,
,,Gata1,
,,Cacna2d2,
,,Rnf157,
,,Lipt2,
,,Gucy2e,
,,Foxj1,
,,Trpm1,
,,Sema4c,
,,Klk15,
,,3110082I17Rik,
,,Acad10,
,,Rassf8,
,,Fam46c,
,,Sptb,
,,Fhad1,
,,Col1a1,
,,Ifi202b,
,,Chrm3,
,,Ppap2a,
,,Ces2b,
,,Ttc3,
,,Hddc3,
,,Serpine1,
,,Zfp219,
,,Pitpnm2,
,,Gpat2,
,,9430065F17Rik,
,,Fhl3,
,,Fam20c,
,,Dbp,
,,Bphl,
,,Mid1,
,,Cysltr2,
,,C530008M17Rik,
,,Ttll9,
,,Nphp1,
,,Mvb12b,
,,Olfr157,
,,Sv2a,
,,Ptrh1,
,,Morn1,
,,Phactr2,
,,Myb,
,,Armcx6,
,,Srm,
,,Mgrn1,
,,Dmd,
,,Cand2,
,,Zc3h6,
,,Dnah8,
,,Sh3gl3,
,,Ttc27,
,,Galk1,
,,Trpv4,
,,Iqcd,
,,Prrt2,
,,Sepp1,
,,9430078K24Rik,
,,Dnase1l3,
,,Tusc1,
,,Adk,
,,Adamtsl4,
,,Cpq,
,,Fan1,
,,Ctdsp2,
,,Hhat,
,,Ppfibp2,
,,Colq,
,,Hgfac,
,,Matk,
,,Ctnnd1,
,,Ptpn3,
,,Hif3a,
,,Cul7,
,,Top1mt,
,,Dio2,
,,Ext1,
,,Ano7,
,,Ndst1,
,,Btbd11,
,,Slc41a3,
,,Znf512b,
,,Acot6,
,,Shmt1,
,,Tsacc,
